Linha;TIPO.DIA;PICO;FORA.PICO
30;8;15;40
32;8;15;40
33;8;15;40
34;8;30;40
35;8;15;40
50;8;15;40
51;8;15;40
52;8;15;40
61;8;15;40
62;8;15;40
63;8;15;40
64;8;15;40
65;8;15;40
66;8;15;40
67;8;15;40
68;8;15;40
82;8;15;40
85;8;15;40
101;8;20;40
102;8;20;40
103;8;20;40
104;8;15;40
105;8;30;40
107;8;30;40
201;8;30;40
202;8;20;40
203;8;30;40
204;8;30;40
205;8;20;40
206;8;20;40
208;8;20;40
301;8;30;40
302;8;20;40
303;8;20;40
304;8;20;40
305;8;20;40
308;8;20;40
309;8;20;40
310;8;20;40
311;8;20;40
313;8;30;40
314;8;20;40
315;8;20;40
318;8;20;40
319;8;30;40
320;8;20;40
321;8;30;40
325;8;20;40
326;8;20;40
327;8;20;40
328;8;20;40
329;8;20;40
330;8;20;40
331;8;20;40
332;8;20;40
335;8;20;40
336;8;30;40
337;8;20;40
338;8;30;40
340;8;20;40
341;8;20;40
342;8;20;40
401;8;30;40
402;8;30;40
406;8;30;40
503;8;20;40
504;8;20;40
506;8;20;40
507;8;30;40
510;8;20;40
511;8;30;40
533;8;30;40
535;8;30;40
607;8;20;40
608;8;20;40
609;8;20;40
614;8;20;40
615;8;20;40
616;8;20;40
617;8;20;40
618;8;20;40
619;8;20;40
620;8;20;40
621;8;20;40
622;8;20;40
623;8;20;40
624;8;20;40
625;8;20;40
626;8;20;40
627;8;20;40
630;8;30;40
631;8;20;40
633;8;20;40
634;8;20;40
635;8;20;40
636;8;20;40
637;8;20;40
638;8;20;40
639;8;20;40
640;8;20;40
641;8;20;40
642;8;20;40
643;8;20;40
644;8;20;40
645;8;20;40
702;8;20;40
703;8;20;40
705;8;20;40
706;8;20;40
707;8;20;40
708;8;20;40
709;8;20;40
710;8;20;40
711;8;20;40
712;8;20;40
713;8;20;40
714;8;20;40
715;8;20;40
716;8;20;40
717;8;20;40
718;8;20;40
719;8;20;40
732;8;20;40
734;8;30;40
735;8;20;40
736;8;20;40
737;8;20;40
738;8;20;40
739;8;20;40
740;8;30;40
806;8;20;40
807;8;20;40
808;8;20;40
809;8;20;40
810;8;20;40
811;8;20;40
812;8;20;40
813;8;20;40
814;8;20;40
815;8;20;40
821;8;30;40
822;8;30;40
823;8;20;40
825;8;20;40
826;8;30;40
832;8;20;40
836;8;20;40
837;8;20;40
838;8;20;40
901;8;20;40
902;8;30;40
903;8;20;40
1030;8;20;40
1145;8;20;40
1170;8;30;40
1502;8;20;40
1505;8;20;40
1509;8;20;40
1510;8;20;40
2033;8;30;40
2034;8;20;40
2035;8;20;40
2101;8;20;40
2102;8;20;40
2103;8;20;40
2104;8;20;40
2150;8;30;40
2151;8;20;40
2152;8;30;40
3011;8;30;40
3020;8;30;40
3029;8;20;40
3030;8;20;40
3050;8;15;40
3051;8;20;40
3052;8;15;40
3053;8;30;40
3054;8;20;40
3055;8;15;40
3150;8;20;40
3250;8;15;40
3350;8;20;40
3502;8;20;40
4031;8;20;40
4032;8;20;40
4033;8;20;40
4034;8;20;40
4037;8;20;40
4102;8;20;40
4103;8;20;40
4106;8;20;40
4107;8;20;40
4108;8;20;40
4110;8;20;40
4111;8;20;40
4113;8;20;40
4150;8;20;40
4201;8;20;40
4205;8;20;40
4405;8;20;40
4410;8;20;40
4501;8;20;40
5033;8;20;40
5102;8;30;40
5104;8;20;40
5106;8;20;40
5107;8;20;40
5201;8;20;40
5203;8;20;40
5250;8;15;40
5401;8;20;40
5550;8;15;40
6014;8;30;40
6017;8;30;40
6018;8;30;40
6032;8;30;40
6034;8;30;40
6030;8;30;40
6031;8;30;40
6350;8;15;40
7015;8;30;40
8015;8;30;40
8101;8;20;40
8102;8;20;40
8103;8;20;40
8106;8;20;40
8107;8;20;40
8108;8;20;40
8150;8;20;40
8151;8;15;40
8203;8;20;40
8205;8;20;40
8207;8;20;40
8208;8;20;40
8350;8;15;40
8401;8;20;40
8405;8;20;40
8501;8;20;40
8550;8;15;40
8551;8;20;40
9030;8;20;40
9032;8;20;40
9034;8;20;40
9101;8;20;40
9103;8;30;40
9104;8;20;40
9105;8;20;40
9106;8;20;40
9201;8;20;40
9202;8;20;40
9204;8;30;40
9205;8;20;40
9206;8;20;40
9208;8;20;40
9209;8;30;40
9210;8;20;40
9211;8;20;40
9214;8;20;40
9250;8;20;40
9402;8;20;40
9403;8;20;40
9404;8;20;40
9405;8;30;40
9407;8;20;40
9408;8;20;40
9410;8;20;40
9411;8;20;40
9412;8;20;40
9414;8;20;40
9415;8;20;40
9501;8;20;40
9502;8;20;40
9503;8;20;40
9550;8;30;40
9801;8;20;40
9805;8;20;40
1404A;8;20;40
1404C;8;20;40
1505R;8;20;40
3301A;8;20;40
3301B;8;20;40
3302A;8;20;40
3302B;8;20;40
3302D;8;20;40
3501A;8;20;40
3501B;8;20;40
3503A;8;20;40
4403A;8;20;40
4403C;8;30;40
4403D;8;20;40
4801A;8;20;40
4802A;8;20;40
5502C;8;20;40
5503A;8;20;40
5503B;8;20;40
5506A;8;20;40
8001A;8;20;40
83D;8;15;40
83P;8;15;40
SC01A;8;15;40
SC01B;8;15;40
SC01R;8;15;40
SC02A;8;15;40
SC02B;8;30;40
SC03A;8;30;40
SC03B;8;30;40
SC04A;8;15;40
SC04B;8;15;40
SE02;8;30;40
