Linha;TIPO.DIA;PICO;FORA.PICO
30;9;15;40
32;9;15;40
33;9;15;40
34;9;30;40
35;9;15;40
50;9;15;40
51;9;15;40
52;9;15;40
61;9;15;40
62;9;15;40
63;9;15;40
64;9;15;40
65;9;15;40
66;9;15;40
67;9;15;40
68;9;15;40
82;9;15;40
85;9;15;40
101;9;20;40
102;9;20;40
103;9;20;40
104;9;15;40
105;9;30;40
107;9;30;40
201;9;30;40
202;9;20;40
203;9;30;40
204;9;30;40
205;9;20;40
206;9;20;40
208;9;20;40
301;9;30;40
302;9;20;40
303;9;20;40
304;9;20;40
305;9;20;40
308;9;20;40
309;9;20;40
310;9;20;40
311;9;20;40
313;9;30;40
314;9;20;40
315;9;20;40
318;9;20;40
319;9;30;40
320;9;20;40
321;9;30;40
325;9;20;40
326;9;20;40
327;9;20;40
328;9;20;40
329;9;20;40
330;9;20;40
331;9;20;40
332;9;20;40
335;9;20;40
336;9;30;40
337;9;20;40
338;9;30;40
340;9;20;40
341;9;20;40
342;9;20;40
401;9;30;40
402;9;30;40
406;9;30;40
503;9;20;40
504;9;20;40
506;9;20;40
507;9;30;40
510;9;20;40
511;9;30;40
533;9;30;40
535;9;30;40
607;9;20;40
608;9;20;40
609;9;20;40
614;9;20;40
615;9;20;40
616;9;20;40
617;9;20;40
618;9;20;40
619;9;20;40
620;9;20;40
621;9;20;40
622;9;20;40
623;9;20;40
624;9;20;40
625;9;20;40
626;9;20;40
627;9;20;40
630;9;30;40
631;9;20;40
633;9;20;40
634;9;20;40
635;9;20;40
636;9;20;40
637;9;20;40
638;9;20;40
639;9;20;40
640;9;20;40
641;9;20;40
642;9;20;40
643;9;20;40
644;9;20;40
645;9;20;40
702;9;20;40
703;9;20;40
705;9;20;40
706;9;20;40
707;9;20;40
708;9;20;40
709;9;20;40
710;9;20;40
711;9;20;40
712;9;20;40
713;9;20;40
714;9;20;40
715;9;20;40
716;9;20;40
717;9;20;40
718;9;20;40
719;9;20;40
732;9;20;40
734;9;30;40
735;9;20;40
736;9;20;40
737;9;20;40
738;9;20;40
739;9;20;40
740;9;30;40
806;9;20;40
807;9;20;40
808;9;20;40
809;9;20;40
810;9;20;40
811;9;20;40
812;9;20;40
813;9;20;40
814;9;20;40
815;9;20;40
821;9;30;40
822;9;30;40
823;9;20;40
825;9;20;40
826;9;30;40
832;9;20;40
836;9;20;40
837;9;20;40
838;9;20;40
901;9;20;40
902;9;30;40
903;9;20;40
1030;9;20;40
1145;9;20;40
1170;9;30;40
1502;9;20;40
1505;9;20;40
1509;9;20;40
1510;9;20;40
2033;9;30;40
2034;9;20;40
2035;9;20;40
2101;9;20;40
2102;9;20;40
2103;9;20;40
2104;9;20;40
2150;9;30;40
2151;9;20;40
2152;9;30;40
3011;9;30;40
3020;9;30;40
3029;9;20;40
3030;9;20;40
3050;9;15;40
3051;9;20;40
3052;9;15;40
3053;9;30;40
3054;9;20;40
3055;9;15;40
3150;9;20;40
3250;9;15;40
3350;9;20;40
3502;9;20;40
4031;9;20;40
4032;9;20;40
4033;9;20;40
4034;9;20;40
4037;9;20;40
4102;9;20;40
4103;9;20;40
4106;9;20;40
4107;9;20;40
4108;9;20;40
4110;9;20;40
4111;9;20;40
4113;9;20;40
4150;9;20;40
4201;9;20;40
4205;9;20;40
4405;9;20;40
4410;9;20;40
4501;9;20;40
5033;9;20;40
5102;9;30;40
5104;9;20;40
5106;9;20;40
5107;9;20;40
5201;9;20;40
5203;9;20;40
5250;9;15;40
5401;9;20;40
5550;9;15;40
6014;9;30;40
6017;9;30;40
6018;9;30;40
6032;9;30;40
6034;9;30;40
6030;9;30;40
6031;9;30;40
6350;9;15;40
7015;9;30;40
8015;9;30;40
8101;9;20;40
8102;9;20;40
8103;9;20;40
8106;9;20;40
8107;9;20;40
8108;9;20;40
8150;9;20;40
8151;9;15;40
8203;9;20;40
8205;9;20;40
8207;9;20;40
8208;9;20;40
8350;9;15;40
8401;9;20;40
8405;9;20;40
8501;9;20;40
8550;9;15;40
8551;9;20;40
9030;9;20;40
9032;9;20;40
9034;9;20;40
9101;9;20;40
9103;9;30;40
9104;9;20;40
9105;9;20;40
9106;9;20;40
9201;9;20;40
9202;9;20;40
9204;9;30;40
9205;9;20;40
9206;9;20;40
9208;9;20;40
9209;9;30;40
9210;9;20;40
9211;9;20;40
9214;9;20;40
9250;9;20;40
9402;9;20;40
9403;9;20;40
9404;9;20;40
9405;9;30;40
9407;9;20;40
9408;9;20;40
9410;9;20;40
9411;9;20;40
9412;9;20;40
9414;9;20;40
9415;9;20;40
9501;9;20;40
9502;9;20;40
9503;9;20;40
9550;9;30;40
9801;9;20;40
9805;9;20;40
1404A;9;20;40
1404C;9;20;40
1505R;9;20;40
3301A;9;20;40
3301B;9;20;40
3302A;9;20;40
3302B;9;20;40
3302D;9;20;40
3501A;9;20;40
3501B;9;20;40
3503A;9;20;40
4403A;9;20;40
4403C;9;30;40
4403D;9;20;40
4801A;9;20;40
4802A;9;20;40
5502C;9;20;40
5503A;9;20;40
5503B;9;20;40
5506A;9;20;40
8001A;9;20;40
83D;9;15;40
83P;9;15;40
SC01A;9;15;40
SC01B;9;15;40
SC01R;9;15;40
SC02A;9;15;40
SC02B;9;30;40
SC03A;9;30;40
SC03B;9;30;40
SC04A;9;15;40
SC04B;9;15;40
SE02;9;30;40
