Linha;TIPO.DIA;PICO;FORA.PICO
30;1;15;50
32;1;15;50
33;1;15;50
34;1;30;50
35;1;15;50
50;1;15;50
51;1;15;50
52;1;15;50
61;1;15;50
62;1;15;50
63;1;15;50
64;1;15;50
65;1;15;50
66;1;15;50
67;1;15;50
68;1;15;50
82;1;15;50
85;1;15;50
101;1;20;50
102;1;20;50
103;1;20;50
104;1;15;50
105;1;15;50
107;1;20;50
201;1;20;50
202;1;20;50
203;1;20;50
204;1;20;50
205;1;20;50
206;1;20;50
208;1;20;50
301;1;20;50
302;1;20;50
303;1;20;50
304;1;20;50
305;1;20;50
308;1;20;50
309;1;20;50
310;1;20;50
311;1;20;50
313;1;20;50
314;1;20;50
315;1;20;50
318;1;20;50
319;1;20;50
320;1;20;50
321;1;20;50
325;1;20;50
326;1;20;50
327;1;20;50
328;1;20;50
329;1;20;50
330;1;20;50
331;1;20;50
332;1;20;50
335;1;20;50
336;1;20;50
337;1;20;50
338;1;30;50
340;1;20;50
341;1;20;50
342;1;20;50
401;1;20;50
402;1;20;50
406;1;20;50
503;1;20;50
504;1;20;50
506;1;20;50
507;1;30;50
510;1;20;50
511;1;20;50
533;1;30;50
535;1;30;50
607;1;20;50
608;1;20;50
609;1;20;50
614;1;20;50
615;1;20;50
616;1;20;50
617;1;20;50
618;1;20;50
619;1;20;50
620;1;20;50
621;1;20;50
622;1;20;50
623;1;20;50
624;1;20;50
625;1;20;50
626;1;20;50
627;1;20;50
630;1;30;50
631;1;20;50
633;1;20;50
634;1;20;50
635;1;20;50
636;1;20;50
637;1;20;50
638;1;20;50
639;1;20;50
640;1;20;50
641;1;20;50
642;1;20;50
643;1;20;50
644;1;20;50
645;1;20;50
702;1;20;50
703;1;20;50
705;1;20;50
706;1;20;50
707;1;20;50
708;1;20;50
709;1;20;50
710;1;20;50
711;1;20;50
712;1;20;50
713;1;20;50
714;1;20;50
715;1;20;50
716;1;20;50
717;1;20;50
718;1;20;50
719;1;20;50
732;1;20;50
734;1;20;50
735;1;20;50
736;1;20;50
737;1;20;50
738;1;20;50
739;1;20;50
740;1;20;50
806;1;20;50
807;1;20;50
808;1;20;50
809;1;20;50
810;1;20;50
811;1;20;50
812;1;20;50
813;1;20;50
814;1;20;50
815;1;20;50
821;1;30;50
822;1;20;50
823;1;20;50
825;1;20;50
826;1;20;50
832;1;20;50
836;1;20;50
837;1;20;50
838;1;20;50
901;1;20;50
902;1;20;50
903;1;20;50
1030;1;20;50
1145;1;20;50
1170;1;30;50
1502;1;20;50
1505;1;20;50
1509;1;20;50
1510;1;20;50
2033;1;30;50
2034;1;20;50
2035;1;20;50
2101;1;20;50
2102;1;20;50
2103;1;20;50
2104;1;20;50
2150;1;30;50
2151;1;20;50
2152;1;30;50
3011;1;30;50
3020;1;30;50
3029;1;20;50
3030;1;20;50
3050;1;15;50
3051;1;20;50
3052;1;15;50
3053;1;15;50
3054;1;20;50
3055;1;15;50
3150;1;20;50
3250;1;15;50
3350;1;20;50
3502;1;20;50
4031;1;20;50
4032;1;20;50
4033;1;20;50
4034;1;20;50
4037;1;20;50
4102;1;20;50
4103;1;20;50
4106;1;20;50
4107;1;20;50
4108;1;20;50
4110;1;20;50
4111;1;20;50
4113;1;20;50
4150;1;20;50
4201;1;20;50
4205;1;20;50
4405;1;20;50
4410;1;20;50
4501;1;20;50
5033;1;20;50
5102;1;30;50
5104;1;20;50
5106;1;20;50
5107;1;20;50
5201;1;20;50
5203;1;20;50
5250;1;15;50
5401;1;20;50
5550;1;15;50
6014;1;30;50
6017;1;30;50
6018;1;30;50
6032;1;30;50
6034;1;30;50
6030;1;20;50
6031;1;20;50
6350;1;15;50
7015;1;30;50
8015;1;30;50
8101;1;20;50
8102;1;20;50
8103;1;20;50
8106;1;20;50
8107;1;20;50
8108;1;20;50
8150;1;20;50
8151;1;15;50
8203;1;20;50
8205;1;20;50
8207;1;20;50
8208;1;20;50
8350;1;15;50
8401;1;20;50
8405;1;20;50
8501;1;20;50
8550;1;15;50
8551;1;20;50
9030;1;20;50
9032;1;20;50
9034;1;20;50
9101;1;20;50
9103;1;30;50
9104;1;20;50
9105;1;20;50
9106;1;20;50
9201;1;20;50
9202;1;20;50
9204;1;30;50
9205;1;20;50
9206;1;20;50
9208;1;20;50
9209;1;20;50
9210;1;20;50
9211;1;20;50
9214;1;20;50
9250;1;20;50
9402;1;20;50
9403;1;20;50
9404;1;20;50
9405;1;20;50
9407;1;20;50
9408;1;20;50
9410;1;20;50
9411;1;20;50
9412;1;20;50
9414;1;20;50
9415;1;20;50
9501;1;20;50
9502;1;20;50
9503;1;20;50
9550;1;30;50
9801;1;20;50
9805;1;20;50
1404A;1;20;50
1404C;1;20;50
1505R;1;20;50
3301A;1;20;50
3301B;1;20;50
3302A;1;20;50
3302B;1;20;50
3302D;1;20;50
3501A;1;20;50
3501B;1;20;50
3503A;1;20;50
4403A;1;20;50
4403C;1;30;50
4403D;1;20;50
4801A;1;20;50
4802A;1;20;50
5502C;1;20;50
5503A;1;20;50
5503B;1;20;50
5506A;1;20;50
8001A;1;20;50
83D;1;15;50
83P;1;15;50
SC01A;1;15;50
SC01B;1;15;50
SC01R;1;15;50
SC02A;1;15;50
SC02B;1;30;50
SC03A;1;15;50
SC03B;1;30;50
SC04A;1;15;50
SC04B;1;15;50
SE02;1;30;50
