"CONCESSIONARIA";"LINHA";"SUBLINHA";"PC";"TIPO.DIA";"HORA";"MINUTO";"ELEVADOR";"HEADWAY";"PICO";"FORA.PICO";"PERIODO";"AN_INTERVALO"
"803";"101";"01";"1";7;"08";"50";"S";20;20;50;"PICO";"OK"
"803";"101";"01";"1";7;"08";"30";"S";20;20;50;"PICO";"OK"
"803";"101";"01";"1";7;"13";"00";"S";40;20;50;"FORA-PICO";"OK"
"803";"101";"01";"1";7;"13";"40";"S";40;20;50;"FORA-PICO";"OK"
"803";"101";"01";"1";7;"14";"20";"S";40;20;50;"FORA-PICO";"OK"
"803";"101";"01";"1";7;"15";"00";"S";50;20;50;"FORA-PICO";"OK"
"803";"101";"01";"1";7;"15";"50";"S";50;20;50;"FORA-PICO";"OK"
"803";"101";"01";"1";7;"16";"40";"S";50;20;50;"FORA-PICO";"OK"
"803";"101";"01";"1";7;"09";"10";"S";50;20;50;"FORA-PICO";"OK"
"803";"101";"01";"1";7;"10";"00";"S";50;20;50;"FORA-PICO";"OK"
"803";"101";"01";"1";7;"10";"50";"S";50;20;50;"FORA-PICO";"OK"
"803";"101";"01";"1";7;"11";"40";"S";20;20;50;"PICO";"OK"
"803";"101";"01";"1";7;"12";"00";"S";20;20;50;"PICO";"OK"
"803";"101";"01";"1";7;"12";"20";"S";20;20;50;"PICO";"OK"
"803";"101";"01";"1";7;"12";"40";"S";20;20;50;"PICO";"OK"
"803";"101";"01";"1";7;"05";"40";"S";50;20;50;"FORA-PICO";"OK"
"803";"101";"01";"1";7;"06";"30";"S";20;20;50;"PICO";"OK"
"803";"101";"01";"1";7;"06";"50";"S";20;20;50;"PICO";"OK"
"803";"101";"01";"1";7;"07";"10";"S";20;20;50;"PICO";"OK"
"803";"101";"01";"1";7;"07";"30";"S";20;20;50;"PICO";"OK"
"803";"101";"01";"1";7;"07";"50";"S";20;20;50;"PICO";"OK"
"803";"101";"01";"1";7;"08";"10";"S";20;20;50;"PICO";"OK"
"803";"101";"01";"1";7;"17";"30";"S";50;20;50;"FORA-PICO";"OK"
"803";"101";"01";"1";7;"18";"20";"S";50;20;50;"FORA-PICO";"OK"
"803";"101";"01";"1";7;"19";"10";"S";50;20;50;"FORA-PICO";"OK"
"803";"101";"01";"1";7;"20";"00";"S";0;20;50;"FORA-PICO";"OK"
