"LINHA";"PC";"TIPO.DIA";"PRIMEIRA_VIAGEM";"ULTIMA_VIAGEM";"PRIMEIRA_VIAGEM_ant";"ULTIMA_VIAGEM_ant";"Dif_First_Trip";"Dif_Last_Trip";"Status_First";"Status_Last"
"101";"1";7;340;1200;340;1200;0;0;"OK";"OK"
"102";"1";7;300;1380;300;1380;0;0;"OK";"OK"
"103";"1";7;300;1380;300;1380;0;0;"OK";"OK"
"104";"1";7;360;1365;360;1365;0;0;"OK";"OK"
"105";"1";7;360;1170;360;1170;0;0;"OK";"OK"
"107";"1";7;360;1200;360;1200;0;0;"OK";"OK"
"1145";"1";7;240;1430;240;1430;0;0;"OK";"OK"
"1170";"1";7;360;880;360;880;0;0;"OK";"OK"
"1170";"2";7;390;910;390;910;0;0;"OK";"OK"
"1404A";"1";7;255;1390;255;1390;0;0;"OK";"OK"
"1404A";"2";7;290;1435;290;1435;0;0;"OK";"OK"
"1404C";"1";7;280;1420;280;1420;0;0;"OK";"OK"
"1404C";"2";7;250;1420;250;1420;0;0;"OK";"OK"
"1502";"1";7;240;1435;250;1435;10;0;"OK";"OK"
"1502";"2";7;240;1435;240;1435;0;0;"OK";"OK"
"1505";"1";7;260;1435;260;1435;0;0;"OK";"OK"
"1505";"2";7;240;1400;240;1400;0;0;"OK";"OK"
"1505R";"1";7;300;1320;300;1320;0;0;"OK";"OK"
"1509";"1";7;300;1435;300;1435;0;0;"OK";"OK"
"1509";"2";7;260;1395;260;1395;0;0;"OK";"OK"
"1510";"1";7;270;1410;270;1410;0;0;"OK";"OK"
"1510";"2";7;265;1410;265;1410;0;0;"OK";"OK"
"201";"1";7;360;1320;360;1320;0;0;"OK";"OK"
"202";"1";7;320;1410;320;1410;0;0;"OK";"OK"
"203";"1";7;420;1170;420;1170;0;0;"OK";"OK"
"2034";"1";7;360;1410;360;1410;0;0;"OK";"OK"
"2035";"1";7;300;1380;300;1380;0;0;"OK";"OK"
"204";"1";7;350;1410;350;1410;0;0;"OK";"OK"
"205";"1";7;300;1200;330;1200;30;0;"OK";"OK"
"206";"1";7;300;1350;300;1350;0;0;"OK";"OK"
"208";"1";7;320;1320;330;1260;10;-60;"OK";"OK"
"2101";"1";7;250;1415;250;1415;0;0;"OK";"OK"
"2101";"2";7;290;1435;290;1435;0;0;"OK";"OK"
"2102";"1";7;240;1380;240;1380;0;0;"OK";"OK"
"2102";"2";7;280;1425;280;1425;0;0;"OK";"OK"
"2103";"1";7;300;1395;300;1395;0;0;"OK";"OK"
"2103";"2";7;350;1435;350;1435;0;0;"OK";"OK"
"2104";"1";7;300;1420;300;1420;0;0;"OK";"OK"
"2104";"2";7;270;1420;280;1410;10;-10;"OK";"OK"
"2151";"1";7;305;1360;305;1360;0;0;"OK";"OK"
"2151";"2";7;345;1400;345;1400;0;0;"OK";"OK"
"2152";"1";7;360;900;360;900;0;0;"OK";"OK"
"2152";"2";7;400;940;400;940;0;0;"OK";"OK"
"30";"1";7;240;1430;240;1430;0;0;"OK";"OK"
"301";"1";7;300;1410;300;1410;0;0;"OK";"OK"
"302";"1";7;250;1425;250;1410;0;-15;"OK";"OK"
"303";"1";7;270;1430;270;1430;0;0;"OK";"OK"
"3030";"1";7;300;1410;300;1410;0;0;"OK";"OK"
"304";"1";7;290;1420;290;1420;0;0;"OK";"OK"
"305";"1";7;241;1430;241;1430;0;0;"OK";"OK"
"3050";"1";7;270;1425;270;1425;0;0;"OK";"OK"
"3051";"1";7;310;1280;310;1240;0;-40;"OK";"OK"
"3052";"1";7;260;1420;260;1420;0;0;"OK";"OK"
"3053";"1";7;240;1420;240;1420;0;0;"OK";"OK"
"3054";"1";7;255;1420;255;1420;0;0;"OK";"OK"
"3055";"1";7;300;1390;300;1380;0;-10;"OK";"OK"
"308";"1";7;250;1410;250;1410;0;0;"OK";"OK"
"309";"1";7;245;1430;245;1430;0;0;"OK";"OK"
"310";"1";7;255;1410;255;1410;0;0;"OK";"OK"
"311";"1";7;240;1425;240;1425;0;0;"OK";"OK"
"313";"1";7;250;1410;250;1410;0;0;"OK";"OK"
"314";"1";7;260;1420;260;1420;0;0;"OK";"OK"
"315";"1";7;300;1410;300;1410;0;0;"OK";"OK"
"318";"1";7;280;1430;280;1430;0;0;"OK";"OK"
"319";"1";7;290;1050;290;1050;0;0;"OK";"OK"
"32";"1";7;240;1432;240;1432;0;0;"OK";"OK"
"321";"1";7;360;1400;360;1400;0;0;"OK";"OK"
"325";"1";7;270;1425;270;1425;0;0;"OK";"OK"
"3250";"1";7;310;1300;375;1200;65;-100;"OK";"OK"
"326";"1";7;270;1430;270;1430;0;0;"OK";"OK"
"327";"1";7;250;1430;250;1430;0;0;"OK";"OK"
"328";"1";7;275;1435;275;1435;0;0;"OK";"OK"
"329";"1";7;240;1420;240;1420;0;0;"OK";"OK"
"33";"1";7;240;1430;240;1430;0;0;"OK";"OK"
"330";"1";7;240;1435;240;1435;0;0;"OK";"OK"
"3301A";"1";7;340;1380;340;1380;0;0;"OK";"OK"
"3301B";"1";7;360;1350;360;1350;0;0;"OK";"OK"
"3302A";"1";7;255;1410;255;1410;0;0;"OK";"OK"
"3302B";"1";7;305;1395;305;1395;0;0;"OK";"OK"
"3302D";"1";7;285;1415;285;1415;0;0;"OK";"OK"
"331";"1";7;300;1410;300;1410;0;0;"OK";"OK"
"332";"1";7;320;1425;320;1425;0;0;"OK";"OK"
"335";"1";7;250;1410;250;1410;0;0;"OK";"OK"
"3350";"1";7;272;1420;272;1420;0;0;"OK";"OK"
"336";"1";7;370;940;370;940;0;0;"OK";"OK"
"337";"1";7;250;1420;250;1420;0;0;"OK";"OK"
"338";"1";7;360;1230;NA;NA;0;0;"OK";"OK"
"340";"1";7;240;1380;240;1380;0;0;"OK";"OK"
"341";"1";7;240;1420;240;1420;0;0;"OK";"OK"
"342";"1";7;240;1420;240;1420;0;0;"OK";"OK"
"35";"1";7;242;1420;242;1420;0;0;"OK";"OK"
"3501A";"1";7;320;1435;320;1435;0;0;"OK";"OK"
"3501A";"2";7;270;1400;270;1390;0;-10;"OK";"OK"
"3501B";"1";7;240;1380;240;1380;0;0;"OK";"OK"
"3501B";"2";7;290;1420;290;1420;0;0;"OK";"OK"
"3502";"1";7;330;1360;330;1360;0;0;"OK";"OK"
"3502";"2";7;390;1420;390;1420;0;0;"OK";"OK"
"3503A";"1";7;250;1425;250;1425;0;0;"OK";"OK"
"3503A";"2";7;240;1435;240;1435;0;0;"OK";"OK"
"401";"1";7;370;880;370;880;0;0;"OK";"OK"
"402";"1";7;360;1410;360;1410;0;0;"OK";"OK"
"4031";"1";7;280;1430;280;1430;0;0;"OK";"OK"
"4032";"1";7;270;1410;270;1410;0;0;"OK";"OK"
"4033";"1";7;300;1410;300;1410;0;0;"OK";"OK"
"4034";"1";7;320;1400;320;1400;0;0;"OK";"OK"
"4037";"1";7;240;1388;240;1388;0;0;"OK";"OK"
"406";"1";7;260;1385;260;1385;0;0;"OK";"OK"
"4102";"1";7;240;1395;245;1400;5;5;"OK";"LINHA ENCERRANDO OPERACAO 5 MINUTOS ANTES DA PROGRAMACAO ATUAL"
"4102";"2";7;280;1439;280;1439;0;0;"OK";"OK"
